name	set_code	set_name
Phyrexian Librarian	UNH	Unhinged
Stop That	UNH	Unhinged
Tainted Monkey	UNH	Unhinged
Vile Bile	UNH	Unhinged
Wet Willie of the Damned	UNH	Unhinged
When Fluffy Bunnies Attack	UNH	Unhinged
Working Stiff	UNH	Unhinged
Zombie Fanboy	UNH	Unhinged
Zzzyxas's Abyss	UNH	Unhinged
Assquatch	UNH	Unhinged
Blast from the Past	UNH	Unhinged
Curse of the Fire Penguin	UNH	Unhinged
Deal Damage	UNH	Unhinged
Dumb Ass	UNH	Unhinged
Face to Face	UNH	Unhinged
Frazzled Editor	UNH	Unhinged
Goblin Mime	UNH	Unhinged
Goblin Secret Agent	UNH	Unhinged
Goblin S.W.A.T. Team	UNH	Unhinged
Mana Flair	UNH	Unhinged
Mons's Goblin Waiters	UNH	Unhinged
Orcish Paratroopers	UNH	Unhinged
Punctuate	UNH	Unhinged
Pygmy Giant	UNH	Unhinged
Red-Hot Hottie	UNH	Unhinged
Rocket-Powered Turbo Slug	UNH	Unhinged
Sauté	UNH	Unhinged
Six-y Beast	UNH	Unhinged
Touch and Go	UNH	Unhinged
Yet Another Aether Vortex	UNH	Unhinged
B-I-N-G-O	UNH	Unhinged
Creature Guy	UNH	Unhinged
Elvish House Party	UNH	Unhinged
Fat Ass	UNH	Unhinged
Form of the Squirrel	UNH	Unhinged
Fraction Jackson	UNH	Unhinged
Gluetius Maximus	UNH	Unhinged
Granny's Payback	UNH	Unhinged
Graphic Violence	UNH	Unhinged
Keeper of the Sacred Word	UNH	Unhinged
Land Aid '04	UNH	Unhinged
Laughing Hyena	UNH	Unhinged
Monkey Monkey Monkey	UNH	Unhinged
Name Dropping	UNH	Unhinged
Old Fogey	UNH	Unhinged
Our Market Research Shows That Players Like Really Long Card Names So We Made this Card to Have the Absolute Longest Card Name Ever Elemental	UNH	Unhinged
Remodel	UNH	Unhinged
Shoe Tree	UNH	Unhinged
Side to Side	UNH	Unhinged
S.N.O.T.	UNH	Unhinged
Stone-Cold Basilisk	UNH	Unhinged
Supersize	UNH	Unhinged
Symbol Status	UNH	Unhinged
Uktabi Kong	UNH	Unhinged
"""Ach! Hans, Run!"""	UNH	Unhinged
Ass Whuppin'	UNH	Unhinged
Meddling Kids	UNH	Unhinged
Rare-B-Gone	UNH	Unhinged
Who	UNH	Unhinged
What	UNH	Unhinged
When	UNH	Unhinged
Where	UNH	Unhinged
Why	UNH	Unhinged
Gleemax	UNH	Unhinged
Letter Bomb	UNH	Unhinged
Mana Screw	UNH	Unhinged
Mox Lotus	UNH	Unhinged
My First Tome	UNH	Unhinged
Pointy Finger of Doom	UNH	Unhinged
Rod of Spanking	UNH	Unhinged
Time Machine	UNH	Unhinged
Togglodyte	UNH	Unhinged
Toy Boat	UNH	Unhinged
Urza's Hot Tub	UNH	Unhinged
Water Gun Balloon Game	UNH	Unhinged
World-Bottling Kit	UNH	Unhinged
City of Ass	UNH	Unhinged
R&D's Secret Lair	UNH	Unhinged
Plains	UNH	Unhinged
Island	UNH	Unhinged
Swamp	UNH	Unhinged
Mountain	UNH	Unhinged
Forest	UNH	Unhinged
Super Secret Tech	UNH	Unhinged
Charm School	UGL	Unglued
The Cheese Stands Alone	UGL	Unglued
Double Dip	UGL	Unglued
Get a Life	UGL	Unglued
I'm Rubber, You're Glue	UGL	Unglued
Knight of the Hokey Pokey	UGL	Unglued
Lexivore	UGL	Unglued
Look at Me, I'm the DCI	UGL	Unglued
Mesa Chicken	UGL	Unglued
Miss Demeanor	UGL	Unglued
Once More with Feeling	UGL	Unglued
Prismatic Wardrobe	UGL	Unglued
Sex Appeal	UGL	Unglued
Bureaucracy	UGL	Unglued
Censorship	UGL	Unglued
Checks and Balances	UGL	Unglued
Chicken à la King	UGL	Unglued
Clambassadors	UGL	Unglued
Clam-I-Am	UGL	Unglued
Clam Session	UGL	Unglued
Common Courtesy	UGL	Unglued
Denied!	UGL	Unglued
Double Take	UGL	Unglued
Fowl Play	UGL	Unglued
Free-for-All	UGL	Unglued
Psychic Network	UGL	Unglued
Sorry	UGL	Unglued
B.F.M. (Big Furry Monster)	UGL	Unglued
B.F.M. (Big Furry Monster)	UGL	Unglued
Deadhead	UGL	Unglued
Double Cross	UGL	Unglued
Handcuffs	UGL	Unglued
Infernal Spawn of Evil	UGL	Unglued
Jumbo Imp	UGL	Unglued
Organ Harvest	UGL	Unglued
Ow	UGL	Unglued
Poultrygeist	UGL	Unglued
Temp of the Damned	UGL	Unglued
Volrath's Motion Sensor	UGL	Unglued
Burning Cinder Fury of Crimson Chaos Fire	UGL	Unglued
Chicken Egg	UGL	Unglued
Double Deal	UGL	Unglued
Goblin Bookie	UGL	Unglued
Goblin Bowling Team	UGL	Unglued
Goblin Tutor	UGL	Unglued
Hurloon Wrangler	UGL	Unglued
Jalum Grifter	UGL	Unglued
Krazy Kow	UGL	Unglued
Landfill	UGL	Unglued
Ricochet	UGL	Unglued
Spark Fiend	UGL	Unglued
Strategy, Schmategy	UGL	Unglued
The Ultimate Nightmare of Wizards of the Coast® Customer Service	UGL	Unglued
Cardboard Carapace	UGL	Unglued
Double Play	UGL	Unglued
Elvish Impersonators	UGL	Unglued
Flock of Rabid Sheep	UGL	Unglued
Free-Range Chicken	UGL	Unglued
Gerrymandering	UGL	Unglued
Ghazbán Ogress	UGL	Unglued
Growth Spurt	UGL	Unglued
Gus	UGL	Unglued
Hungry Hungry Heifer	UGL	Unglued
Incoming!	UGL	Unglued
Mine, Mine, Mine!	UGL	Unglued
Squirrel Farm	UGL	Unglued
Team Spirit	UGL	Unglued
Timmy, Power Gamer	UGL	Unglued
Ashnod's Coupon	UGL	Unglued
Blacker Lotus	UGL	Unglued
Bronze Calendar	UGL	Unglued
Chaos Confetti	UGL	Unglued
Clay Pigeon	UGL	Unglued
Giant Fan	UGL	Unglued
Jack-in-the-Mox	UGL	Unglued
Jester's Sombrero	UGL	Unglued
Mirror Mirror	UGL	Unglued
Paper Tiger	UGL	Unglued
Rock Lobster	UGL	Unglued
Scissors Lizard	UGL	Unglued
Spatula of the Ages	UGL	Unglued
Urza's Contact Lenses	UGL	Unglued
Urza's Science Fair Project	UGL	Unglued
Plains	UGL	Unglued
Island	UGL	Unglued
Swamp	UGL	Unglued
Mountain	UGL	Unglued
Forest	UGL	Unglued
Pegasus token card	UGL	Unglued
Soldier token card	UGL	Unglued
Zombie token card	UGL	Unglued
Goblin token card	UGL	Unglued
Sheep token card	UGL	Unglued
Squirrel token card	UGL	Unglued
Serra Angel	pWOS	Wizards of the Coast Online Store
Balduvian Horde	pWOR	Worlds
Vengevine	pWCQ	World Magic Cup Qualifiers
Geist of Saint Traft	pWCQ	World Magic Cup Qualifiers
Thalia, Guardian of Thraben	pWCQ	World Magic Cup Qualifiers
Liliana of the Veil	pWCQ	World Magic Cup Qualifiers
Snapcaster Mage	pWCQ	World Magic Cup Qualifiers
Thran Quarry	pSUS	Super Series
Serra Avatar	pSUS	Super Series
Lord of Atlantis	pSUS	Super Series
Crusade	pSUS	Super Series
Elvish Lyrist	pSUS	Super Series
City of Brass	pSUS	Super Series
Volcanic Hammer	pSUS	Super Series
Giant Growth	pSUS	Super Series
Two-Headed Dragon	pSUS	Super Series
Slith Firewalker	pSUS	Super Series
Royal Assassin	pSUS	Super Series
Sakura-Tribe Elder	pSUS	Super Series
Shard Phoenix	pSUS	Super Series
Soltari Priest	pSUS	Super Series
Whirling Dervish	pSUS	Super Series
Glorious Anthem	pSUS	Super Series
Elvish Champion	pSUS	Super Series
Mad Auntie	pSUS	Super Series
Slith Firewalker	pSUS	Super Series
Royal Assassin	pSUS	Super Series
Sakura-Tribe Elder	pSUS	Super Series
Shard Phoenix	pSUS	Super Series
Soltari Priest	pSUS	Super Series
Whirling Dervish	pSUS	Super Series
Glorious Anthem	pSUS	Super Series
Elvish Champion	pSUS	Super Series
Sakura-Tribe Elder	pSUS	Super Series
Shard Phoenix	pSUS	Super Series
Soltari Priest	pSUS	Super Series
Whirling Dervish	pSUS	Super Series
Glorious Anthem	pSUS	Super Series
Elvish Champion	pSUS	Super Series
Faerie Conclave	pSUM	Summer of Magic
Treetop Village	pSUM	Summer of Magic
Rukh Egg	pREL	Release Events
Ass Whuppin'	pREL	Release Events
Budoka Pupil	pREL	Release Events
Ichiga, Who Topples Oaks	pREL	Release Events
Ghost-Lit Raider	pREL	Release Events
Force of Nature	pREL	Release Events
Shivan Dragon	pREL	Release Events
Dimir Guildmage	pREL	Release Events
Gruul Guildmage	pREL	Release Events
Azorius Guildmage	pREL	Release Events
Sudden Shock	pREL	Release Events
Hedge Troll	pREL	Release Events
Storm Entity	pREL	Release Events
Shriekmaw	pREL	Release Events
Eternal Dragon	pPRO	Pro Tour
Mirari's Wake	pPRO	Pro Tour
Treva, the Renewer	pPRO	Pro Tour
Avatar of Woe	pPRO	Pro Tour
Ajani Goldmane	pPRO	Pro Tour
Dirtcowl Wurm	pPRE	Prerelease Events
Revenant	pPRE	Prerelease Events
Monstrous Hound	pPRE	Prerelease Events
Lightning Dragon	pPRE	Prerelease Events
Beast of Burden	pPRE	Prerelease Events
Lu Bu, Master-at-Arms	pPRE	Prerelease Events
False Prophet	pPRE	Prerelease Events
Lu Bu, Master-at-Arms	pPRE	Prerelease Events
Overtaker	pPRE	Prerelease Events
Rathi Assassin	pPRE	Prerelease Events
Avatar of Hope	pPRE	Prerelease Events
Raging Kavu	pPRE	Prerelease Events
Questing Phelddagrif	pPRE	Prerelease Events
Fungal Shambler	pPRE	Prerelease Events
Stone-Tongue Basilisk	pPRE	Prerelease Events
Laquatus's Champion	pPRE	Prerelease Events
Glory	pPRE	Prerelease Events
Silent Specter	pPRE	Prerelease Events
Feral Throwback	pPRE	Prerelease Events
Soul Collector	pPRE	Prerelease Events
Sword of Kaldra	pPRE	Prerelease Events
Shield of Kaldra	pPRE	Prerelease Events
Helm of Kaldra	pPRE	Prerelease Events
Ryusei, the Falling Star	pPRE	Prerelease Events
Ink-Eyes, Servant of Oni	pPRE	Prerelease Events
Kiyomaro, First to Stand	pPRE	Prerelease Events
Gleancrawler	pPRE	Prerelease Events
Djinn Illuminatus	pPRE	Prerelease Events
Avatar of Discord	pPRE	Prerelease Events
Allosaurus Rider	pPRE	Prerelease Events
Lotus Bloom	pPRE	Prerelease Events
Oros, the Avenger	pPRE	Prerelease Events
Korlash, Heir to Blackblade	pPRE	Prerelease Events
Wren's Run Packmaster	pPRE	Prerelease Events
Door of Destinies	pPRE	Prerelease Events
Demigod of Revenge	pPRE	Prerelease Events
Overbeing of Myth	pPRE	Prerelease Events
Ajani Vengeant	pPRE	Prerelease Events
Malfegor	pPRE	Prerelease Events
Dragon Broodmother	pPRE	Prerelease Events
Vampire Nocturnus	pPRE	Prerelease Events
Rampaging Baloths	pPRE	Prerelease Events
Comet Storm	pPRE	Prerelease Events
Emrakul, the Aeons Torn	pPRE	Prerelease Events
Sun Titan	pPRE	Prerelease Events
